avalanche avalanched avalanches avalanching 
avenge avenged avenges avenging 
aver averred averring avers 
average averaged averages averaging 
avert averted averting averts 
aviate aviated aviates aviating 
avoid avoided avoiding avoids 
avouch avouched avouches avouching 
avow avowed avowing avows 
await awaited awaiting awaits 
awake awaked awakes awaking awoke awoken 
awaken awakened awakening awakens 
award awarded awarding awards 
awe awed awes awing 
ax axe axed axes axing 
azotize azotized azotizes azotizing azotise azotised azotises azotising 
baa baaed baaing baas 
baalize baalized baalizes baalizing 
babbitt babbitted babbitting babbitts 
babble babbled babbles babbling 
babelize babelized babelizes babelizing babelise babelised babelises babelising 
baby babying babied babies 
bach bached baches baching 
backbite backbites backbiting backbitten backbit 
backcomb backcombed backcombing backcombs 
backcross backcrossed backcrosses backcrossing 
backdate backdated backdates backdating 
backfill backfilled backfilling backfills 
backfire backfired backfires backfiring 
backhand backhanded backhanding backhands 
backlog backlogged backlogging backlogs 
backpack backpacked backpacking backpacks 
backslide backslides backsliding backslid 
backspace backspaced backspaces backspacing 
backsplice backspliced backsplices backsplicing 
backstab backstabbed backstabbing backstabs 
backstitch backstitched backstitches backstitching 
backstop backstopped backstopping backstops 
backstroke backstroked backstrokes backstroking 
backtrack backtracked backtracking backtracks 
backwash backwashed backwashes backwashing 
backwater backwaters backwatered backwatering 
backwind backwinded backwinding backwinds 
bacterize bacterized bacterizes bacterizing 
badge badged badging badges 
badger badgered badgering badgers 
baff baffed baffing baffs 
baffle baffled baffles baffling 
bag bagged bagging bags 
bagpipe bagpiped bagpiping bagpipes 
bail bailed bailing bails 
bait baited baiting baits 
baize baized baizes baizing 
bake baked bakes baking 
baksheesh baksheeshed baksheeshes baksheeshing 
balance balanced balances balancing 
bale baled bales baling 
balk balked balking balks 
balkanize balkanized balkanizes balkanizing balkanise balkanised balkanises balkanising 
ball balled balling balls 
balladize balladized balladizes balladizing balladise balladised balladises balladising 
ballast ballasted ballasting ballasts 
ballocks ballocksed ballockses ballocksing 
balloon ballooned ballooning balloons 
ballot balloted balloting ballots 
ballyhoo ballyhooed ballyhooes ballyhooing 
ballyrag ballyragged ballyragging ballyrags 
bamboozle bamboozled bamboozles bamboozling 
ban banned banning bans 
band banded banding bands 
bandage bandaged bandages bandaging 
bandfile bandfiled bandfiles bandfiling 
bandsaw bandsawed bandsawing bandsawn bandsaws 
bandy bandying bandies bandied 
bang banged banging bangs 
banish banished banishes banishing 
bank banked banking banks 
bankroll bankrolled bankrolling bankrolls 
bankrupt bankrupted bankrupting bankrupts 
banquet banqueted banqueting banquets 
banter bantered bantering banters 
baptize baptized baptizes baptizing baptise baptised baptises baptising 
bar barred barring bars 
barb barbed barbing barbs 
barbarianize barbarianized barbarianizes barbarianizing 
barbarize barbarized barbarizes barbarizing barbarise barbarised barbarises barbarising 
barbecue barbecued barbecues barbecuing 
barbeque barbequed barbeques barbequing 
barber barbered barbering barbers 
bard barded barding bards 
bare bared bares baring 
bargain bargained bargaining bargains 
barge barged barges barging 
barhop barhopped barhopping barhops 
bark barked barking barks 
barney barneyed barneying barneys 
barnstorm barnstormed barnstorming barnstorms 
baronetize baronetized baronetizes baronetizing baronetise baronetised baronetises baronetising 
baronize baronized baronizes baronizing 
barrack barracked barracking barracks 
barrage barraged barrages barraging 
barrel barreled barreling barrelled barrelling barrels 
barricade barricaded barricades barricading 
barricado barricadoed barricadoes barricadoing 
bartend bartended bartending bartends 
barter bartered bartering barters 
base based bases basing 
bash bashed bashes bashing 
basiate basiated basiates basiating 
basify basifying basified basifies 
bask basked basking basks 
basset basseted basseting bassets 
bastardize bastardized bastardizes bastardizing bastardise bastardised bastardises bastardising 
baste basted bastes basting 
bastinade bastinaded bastinades bastinading 
bastinado bastinadoed bastinadoes bastinadoing 
bat batted batting bats 
batch batched batches batching 
bate bated bates bating 
batfowl batfowled batfowling batfowls 
bathe bathed bathes bathing 
batten battened battening battens 
batter battered battering batters 
battle battled battles battling 
battledore battledored battledores battledoring 
battologize battologized battologizes battologizing battologise battologised battologises battologising 
baulk baulked baulking baulks 
bawl bawled bawling bawls 
bay bayed baying bays 
bayonet bayoneted bayoneting bayonetted bayonetting bayonets 
be am is are was were been being wert 
beach beached beaches beaching 
beacon beaconed beaconing beacons 
bead beaded beading beads 
beagle beagled beagles beagling 
beam beamed beaming beams 
bean beaned beaning beans 
bear bears bore born borne bearing 
beard bearded bearding beards 
beat beating beats beaten 
beatify beatifying beatifies beatified 
beautify beautifying beautifies beautified 
beaver beavered beavering beavers 
becalm becalmed becalming becalms 
bechance bechanced bechances bechancing 
becharm becharmed becharming becharms 
beckon beckoned beckoning beckons 
beclasp beclasped beclasping beclasps 
becloud beclouded beclouding beclouds 
become becomes becoming became 
becrawl becrawled becrawling becrawls 
becripple becrippled becripples becrippling 
bed bedded bedding beds 
bedabble bedabbled bedabbles bedabbling 
bedash bedashed bedashes bedashing 
bedaub bedaubed bedaubing bedaubs 
bedazzle bedazzled bedazzles bedazzling 
bedeck bedecked bedecking bedecks 
bedevil bedeviled bedeviling bedevilled bedevilling bedevils 
bedew bedewed bedewing bedews 
bedight bedighted bedighting bedights 
bedim bedimmed bedimming bedims 
bedizen bedizened bedizening bedizens 
bedlamize bedlamized bedlamizes bedlamizing bedlamise bedlamised bedlamises bedlamising 
bedrabble bedrabbled bedrabbles bedrabbling 
bedraggle bedraggled bedraggles bedraggling 
bedrench bedrenched bedrenches bedrenching 
beef beefed beefing beefs 
beep beeped beeping beeps 
beestride beestrided beestrides beestriding 
beetle beetled beetles beetling 
befall befallen befalling befalls befell 
befit befitted befitting befits 
beflag beflagged beflagging beflags 
befog befogged befogging befogs 
befool befooled befooling befools 
befoul befouled befouling befouls 
befriend befriended befriending befriends 
befuddle befuddled befuddles befuddling 
beg begged begging begs 
begem begemmed begemming begems 
beget begot begotten begetting begets 
beggar beggared beggaring beggars 
begin began begun beginning begins 
begird begirded begirding begirds 
begirt begirted begirting begirts 
begrime begrimed begrimes begriming 
begrudge begrudged begrudges begrudging 
beguile beguiled beguiles beguiling 
behave behaved behaves behaving 
behead beheaded beheading beheads 
behold beholding beholds beheld 
behoove behooved behooves behooving 
behove behoved behoves behoving 
bejewel bejeweled bejeweling bejewelled bejewelling bejewels 
belabor belabour belabored belaboured belaboring belabouring belabors belabours 
belay belayed belaying belays 
belch belched belches belching 
beleaguer beleaguered beleaguering beleaguers 
belie belied belies belying 
believe believed believes believing 
belittle belittled belittles belittling 
bell belled belling bells 
bellow bellowed bellowing bellows 
belly bellying bellied bellies 
bellyache bellyached bellyaches bellyaching 
belong belonged belonging belongs 
belove beloved beloves beloving 
belt belted belting belts 
bemean bemeaned bemeaning bemeans 
bemire bemired bemires bemiring 
bemoan bemoaned bemoaning bemoans 
bemock bemocked bemocking bemocks 
bemuddle bemuddled bemuddles bemuddling 
bemuse bemused bemuses bemusing 
bename benamed benames benaming 
bench benched benches benching 
benchmark benchmarked benchmarking benchmarks 
bend bending bends bent 
benefice beneficed benefices beneficing 
beneficiate beneficiated beneficiates beneficiating 
benefit benefited benefitted benefiting benefitting benefits 
benempt benempted benempting benempts 
benumb benumbed benumbing benumbs 
benzoylate benzoylated benzoylates benzoylating 
bepaint bepainted bepainting bepaints 
bequeath bequeathed bequeathing bequeaths 
berate berated berates berating 
bereareft berearefted berearefting berearefts 
bereave bereaved bereaves bereaving bereft 
berime berimed berimes beriming berhyme berhymed berhymes berhyming 
berry berrying berried berries 
berth berthed berthing berths 
bescribble bescribbled bescribbles bescribbling 
beseech beseeched beseeches beseeching besought 
beseem beseemed beseeming beseems 
beset besets besetting 
beshrew beshrewed beshrewing beshrews 
besiege besieged besieges besieging 
besmear besmeared besmearing besmears 
besmirch besmirched besmirches besmirching 
besom besomed besoming besoms 
besot besotting besotted besots 
bespangle bespangled bespangles bespangling 
bespatter bespattered bespattering bespatters 
bespeak bespoken bespoke bespeaking bespeaks 
bespread bespreads bespreading 
besprinkle besprinkled besprinkles besprinkling 
best bested besting bests 
bestead besteaded besteading besteads 
bestialize bestialized bestializes bestializing bestialise bestialised bestialises bestialising 
bestir bestirred bestirring bestirs 
bestow bestowed bestowing bestows 
bestraddle bestraddled bestraddles bestraddling 
bestrew bestrewed bestrewing bestrewn bestrews 
bestride bestrides bestriding bestrode bestridden 
bestud bestudded bestudding bestuds 
bet betted betting bets 
betake betaken betakes betaking betook 
bete beting beted betes 
bethink bethinking bethinks bethought 
betide betided betides betiding 
betoken betokened betokening betokens 
betray betrayed betraying betrays 
betroth betrothed betrothing betroths 
better bettered bettering betters 
bevel beveled beveling bevelled bevelling bevels 
bewail bewailed bewailing bewails 
beware bewared bewares bewaring 
bewilder bewildered bewildering bewilders 
bewitch bewitched bewitches bewitching 
bewray bewrayed bewraying bewrays 
bias biasing biased biases biassing biassed biasses 
bib bibbed bibbing bibs 
bicker bickered bickering bickers 
bicycle bicycled bicycles bicycling 
bid bade bidden bidding bids 
bide bided bides biding bode 
biff biffed biffing biffs 
bifurcate bifurcated bifurcates bifurcating 
bigg bigged bigging biggs 
bight bighted bighting bights 
bike biked bikes biking 
bilge bilged bilges bilging 
bilk bilked bilking bilks 
bill billed billing bills 
billet billeted billeting billets 
billow billowed billowing billows 
bin binned binning bins 
bind binds bound binding 
bing binged binging bings 
bioassay bioassayed bioassaying bioassays 
birch birched birches birching 
birdie birdieing birdied birdies 
birdlime birdlimed birdlimes birdliming 
birk birked birking birks 
birl birled birling birls 
birr birred birring birrs 
birth birthed birthing births 
bisect bisected bisecting bisects 
bishop bishoped bishoping bishops 
bist bisted bisting bists 
bit bitted bitting bits 
bitch bitched bitches bitching 
bite bites biting bit bitten 
bitt bitting bitts bitted 
bitter bittered bittering bitters 
bituminize bituminized bituminizes bituminizing bituminise bituminised bituminises bituminising 
bivouac bivouacked bivouacking bivouacs bivouacks 
blab blabbed blabbing blabs 
blabber blabbered blabbering blabbers 
black blacked blacking blacks 
blackball blackballed blackballing blackballs 
blackberry blackberrying blackberried blackberries 
blackbird blackbirded blackbirding blackbirds 
blacken blackened blackening blackens 
blackguard blackguarded blackguarding blackguards 
blackjack blackjacked blackjacking blackjacks 
blackleg blacklegged blacklegging blacklegs 
blacklist blacklisted blacklisting blacklists 
blackmail blackmailed blackmailing blackmails 
blah blahed blahing blahs 
blame blamed blames blaming 
blanch blanched blanches blanching blench blenched blenching blenches 
blandish blandished blandishes blandishing 
blank blanked blanks blanking 
blanket blanketed blanketing blankets 
blare blared blares blaring 
blarney blarneyed blarneying blarneys 
blaspheme blasphemed blasphemes blaspheming 
blast blasted blasting blasts 
blastoff blastoffed blastoffing blastoffs 
blat blatted blatting blats 
blather blathered blathering blathers blethered blethering blethers blether 
blaze blazed blazes blazing 
blazon blazoned blazoning blazons 
bleach bleached bleaches bleaching 
blear bleared blearing blears 
bleat bleated bleating bleats 
bleed bled bleeding bleeds 
bleep bleeped bleeping bleeps 
blemish blemished blemishes blemishing 
blend blended blending blends blent 
bless blessed blesses blessing blest 
blight blighted blighting blights 
blind blinded blinding blinds 
blindfold blindfolded blindfolding blindfolds 
blink blinked blinking blinks 
blip blipping blipped blips 
blister blistered blistering blisters 
blither blithered blithering blithers 
blitz blitzed blitzes blitzing 
bloat bloated bloating bloats 
blob blobbed blobbing blobs 
block blocked blocking blocks 
blockade blockaded blockades blockading 
blood blooded blooding bloods 
bloody bloodying bloodied bloodies 
bloom blooms blooming bloomed 
blossom blossomed blossoming blossoms 
blot blotted blotting blots 
blotch blotched blotches blotching 
blouse bloused blouses blousing 
blow blew blowing blows blown 
blub blubbed blubbing blubs 
blubber blubbered blubbering blubbers 
bludge bludged bludges bludging 
bludgeon bludgeoned bludgeoning bludgeons 
blue blued bluing blues 
blueprint blueprinted blueprinting blueprints 
bluff bluffed bluffing bluffs 
blunder blundered blunders blundering 
blunge blunged blunges blunging 
blunt blunted blunting blunts 
blur blurred blurring blurs 
blurt blurted blurting blurts 
blush blushed blushes blushing 
bluster blustered blustering blusters 
board boarded boarding boards 
boast boasted boasting boasts 
boat boated boats boating 
bob bobbed bobbing bobs 
bobble bobbled bobbles bobbling 
bobsled bobsledded bobsleds 
bobsleigh bobsleighed bobsleighing bobsleighs 
bode boded boding bodes 
bodge bodged bodges bodging 
body bodied bodies bodying 
bodycheck bodychecked bodychecking bodychecks 
bog bogged bogging bogs 
bogey bogeyed bogeying bogeys 
boggle boggled boggles boggling 
bogue bogued bogues boguing 
boil boiled boiling boils 
boldface boldfaced boldfaces boldfacing 
bollix bollixed bollixing bollixes bollox bolloxed bolloxing bolloxes 
bolshevize bolshevized bolshevizes bolshevizing 
bolster bolstered bolstering bolsters 
bolt bolted bolting bolts 
bomb bombed bombing bombs 
bombard bombarded bombarding bombards 
bond bonded bonding bonds 
bone boned bones boning 
bong bonged bonging bongs 
boo booing boos booed 
boob boobed boobing boobs 
boodle boodled boodles boodling 
boogie boogied boogies boogying 
boohoo boohooed boohooing boohoos 
book booked booking books 
boom boomed booming booms 
boomerang boomeranged boomeranging boomerangs 
